#Freq(Hz)	Mag(strain/ct)	Phase(rad)
7.375	2.1991e-014	-1.32
7.3906	2.1715e-014	-1.3207
7.4063	2.1426e-014	-1.3197
7.4219	2.1159e-014	-1.3203
7.4375	2.0891e-014	-1.3205
7.4531	2.0634e-014	-1.3213
7.4688	2.0374e-014	-1.3214
7.4844	2.0115e-014	-1.3213
7.5	1.9869e-014	-1.3221
7.5156	1.9614e-014	-1.3216
7.5313	1.9369e-014	-1.3217
7.5469	1.9133e-014	-1.3224
7.5625	1.8896e-014	-1.3226
7.5781	1.8659e-014	-1.3223
7.5938	1.8427e-014	-1.3224
7.6094	1.82e-014	-1.3224
7.625	1.7978e-014	-1.3228
7.6406	1.776e-014	-1.3232
7.6563	1.7549e-014	-1.324
7.6719	1.7325e-014	-1.323
7.6875	1.7119e-014	-1.3236
7.7031	1.6902e-014	-1.3226
7.7188	1.6699e-014	-1.3229
7.7344	1.6498e-014	-1.3232
7.75	1.6296e-014	-1.3228
7.7656	1.6097e-014	-1.3226
7.7813	1.591e-014	-1.3235
7.7969	1.5715e-014	-1.3229
7.8125	1.5517e-014	-1.3216
7.8281	1.5341e-014	-1.3229
7.8438	1.5153e-014	-1.3221
7.8594	1.4978e-014	-1.3229
7.875	1.4804e-014	-1.3235
7.8906	1.4619e-014	-1.3219
7.9063	1.445e-014	-1.3226
7.9219	1.4283e-014	-1.323
7.9375	1.4113e-014	-1.3226
7.9531	1.3944e-014	-1.3221
7.9688	1.3777e-014	-1.3214
7.9844	1.3618e-014	-1.3217
8	1.3455e-014	-1.3209
8.0156	1.33e-014	-1.3211
8.0313	1.3146e-014	-1.3211
8.0469	1.2985e-014	-1.3193
8.0625	1.2842e-014	-1.3206
8.0781	1.2693e-014	-1.3203
8.0938	1.2547e-014	-1.3203
8.1094	1.2402e-014	-1.32
8.125	1.226e-014	-1.32
8.1406	1.2115e-014	-1.3189
8.1563	1.1977e-014	-1.3188
8.1719	1.1833e-014	-1.317
8.1875	1.171e-014	-1.3193
8.2031	1.1572e-014	-1.3181
8.2188	1.1447e-014	-1.3193
