# This is the BNS population 
# Sources cataloged by Ravi Kumar
# file generated by Chad Hanna March 23 2006
#NAME	     #RA       #DEC	   #DIST   #LUM	 #FUDGE 	
PGC142029    +03:06.6  -54:11.3   9694.4   0.003  1.0
NGC4062      +12:01.5  +32:11.0   9700.0   0.316  1.0
NGC4136      +12:06.7  +30:12.0   9700.0   0.305  1.0
NGC4150      +12:08.0  +30:41.0   9700.0   0.153  1.0
NGC4173      +12:09.8  +29:28.0   9700.0   0.160  1.0
NGC4203      +12:12.6  +33:29.0   9700.0   0.350  1.0
NGC4245      +12:15.1  +29:53.0   9700.0   0.194  1.0
NGC4251      +12:15.6  +28:27.0   9700.0   0.356  1.0
NGC4274      +12:17.4  +29:53.0   9700.0   0.759  1.0
NGC4278      +12:17.6  +29:34.0   9700.0   0.525  1.0
NGC4283      +12:17.8  +29:35.0   9700.0   0.100  1.0
NGC4308      +12:19.4  +30:20.0   9700.0   0.033  1.0
NGC4310      +12:19.9  +29:29.0   9700.0   0.111  1.0
NGC4314      +12:20.1  +30:10.0   9700.0   0.449  1.0
NGC4359      +12:21.6  +31:48.0   9700.0   0.146  1.0
NGC4393      +12:23.3  +27:50.0   9700.0   0.160  1.0
NGC4448      +12:25.8  +28:54.0   9700.0   0.366  1.0
NGC4494      +12:28.9  +26:03.0   9700.0   0.766  1.0
NGC4525      +12:31.3  +30:34.0   9700.0   0.160  1.0
NGC4559      +12:33.5  +28:14.0   9700.0   1.660  1.0
NGC4562      +12:33.1  +26:08.0   9700.0   0.064  1.0
NGC4565      +12:33.8  +26:15.0   9700.0   2.128  1.0
NGC628       +01:34.0  +15:32.0   9700.0   2.089  1.0
UGCA294      +12:42.1  +28:45.0   9700.0   0.022  1.0
PGC2321523   +08:12.7  +48:36.7   9708.3   0.001  1.0
ESO495-021   +08:36.2  -26:24.5   9722.2   0.251  1.0
PGC2277751   +10:35.2  +46:14.2   9722.2   0.001  1.0
ESO565-001   +09:21.4  -22:30.0   9763.9   0.048  1.0
ESO483-013   +04:12.7  -23:09.5   9777.8   0.042  1.0
NGC4517      +12:30.2  +00:23.0   9800.0   1.057  1.0
NGC4534      +12:31.7  +35:48.0   9800.0   0.196  1.0
UGC1865      +02:21.9  +35:49.0   9800.0   0.048  1.0
ESO362-009   +05:11.9  -32:58.3   9805.6   0.131  1.0
PGC042724    +12:42.7  +03:25.8   9805.6   0.003  1.0
PGC128826    +04:16.3  -54:53.6   9847.2   0.020  1.0
M96          +10:46.4  +11:49.1   9860.0   1.72  1.0 
UGC05797     +10:39.4  +01:43.1   9861.1   0.019  1.0
ESO300-014   +03:09.6  -41:01.8   9875.0   0.121  1.0
IC2004       +03:51.7  -49:25.1   9916.7   0.019  1.0
IC3647       +12:40.9  +10:28.5   9972.2   0.030  1.0
PGC1099440   +10:09.5  -02:10.9   9972.2   0.008  1.0
ESO141-042   +19:16.2  -62:21.7   9986.1   0.031  1.0
NGC2552      +08:15.7  +50:10.0  10000.0   0.151  1.0
NGC7518      +23:10.6  +06:03.0  10000.0   0.036  1.0
UGC2259      +02:44.8  +37:20.0  10000.0   0.089  1.0
ESO362-007   +05:10.4  -33:01.1  10013.9   0.003  1.0
IC2233       +08:14.0  +45:44.5  10013.9   0.391  1.0
PGC166085    +05:23.3  -34:34.4  10041.7   0.007  1.0
UGC01104     +01:32.7  +18:19.0  10069.4   0.044  1.0
ESO346-007   +22:53.3  -38:47.9  10083.3   0.017  1.0
PGC2175402   +08:31.7  +41:04.9  10083.3   0.001  1.0
NGC4080      +12:04.9  +26:59.5  10097.2   0.064  1.0
NGC2500      +07:58.2  +50:54.0  10100.0   0.238  1.0
NGC959       +02:29.3  +35:17.0  10100.0   0.154  1.0
UGC2023      +02:30.3  +33:17.0  10100.0   0.120  1.0
UGC06145     +11:05.5  -01:51.7  10111.1   0.009  1.0
NGC0949      +02:30.8  +37:08.2  10125.0   0.325  1.0
IC3247       +12:23.2  +28:53.6  10152.8   0.049  1.0
PGC148136    +05:58.0  -12:55.7  10166.7   0.061  1.0
UGC2034      +02:30.6  +40:19.0  10200.0   0.112  1.0
UGC8683      +13:40.4  +39:55.0  10200.0   0.031  1.0
UGCA106      +05:10.1  -33:02.0  10200.0   0.087  1.0
IC2085       +04:31.4  -54:25.0  10208.3   0.044  1.0
PGC040059    +12:22.2  +07:10.0  10222.2   0.007  1.0
NGC1592      +04:29.6  -27:24.5  10250.0   0.051  1.0
PGC069990    +22:54.7  -26:53.4  10250.0   0.016  1.0
PGC1069207   +14:30.2  -03:35.8  10250.0   0.001  1.0
PGC1075746   +10:00.2  -03:08.5  10250.0   0.001  1.0
NGC1510      +04:01.9  -43:33.0  10300.0   0.067  1.0
