#This list contains the morphological galaxy types necessary to build the Macho population
#Cataloged by Ravi Kumar 
#File generated by Chad Hanna March 23 2006 
#NAME			#RA		#DEC		#DIST		#LUM	#FUDGE 	#TYPE
PGC1427448       	 +1:42.10 	 +13:17.60 	 9138.90 	 0.001 	 1.00 ---
UGC08061         	 +12:56.70 	 +11:55.90 	 9152.80 	 0.004 	 1.00 Irr
ESO358-054       	 +3:43.00 	 -36:16.40 	 9166.70 	 0.039 	 1.00 SABd
ESO270-017       	 +13:34.70 	 -45:32.80 	 9194.40 	 1.169 	 1.00 SBm
IC3521           	 +12:34.60 	 +7:9.60 	 9194.40 	 0.052 	 1.00 IrrB
UGC12632         	 +23:27.60 	 +40:43.00 	 9200.00 	 0.185 	 1.00 SABm
UGC8313          	 +13:11.60 	 +42:28.00 	 9200.00 	 0.033 	 1.00 SBc
NGC4485          	 +12:28.20 	 +41:58.00 	 9300.00 	 0.179 	 1.00 Irr
NGC5195          	 +13:27.90 	 +47:32.00 	 9300.00 	 0.832 	 1.00 S?
UGC12588         	 +23:22.30 	 +41:4.00 	 9300.00 	 0.102 	 1.00 Sd
UGC1561          	 +2:1.30 	 +23:58.00 	 9300.00 	 0.033 	 1.00 Irr
NGC0891          	 +2:22.60 	 +42:20.80 	 9319.40 	 1.959 	 1.00 ?
M95              	 +10:43.50 	 +11:42.10 	 9330.00 	 1.090 	 1.00 Sb
NGC4258          	 +12:19.00 	 +47:18.20 	 9361.10 	 4.093 	 1.00 SABb
M66              	 +11:20.10 	 +12:59.20 	 9380.00 	 2.940 	 1.00 SABb
ESO138-009       	 +16:58.00 	 -60:53.20 	 9388.90 	 0.050 	 1.00 IrrB
NGC3104          	 +10:0.90 	 +41:0.00 	 9400.00 	 0.137 	 1.00 IrrAB
UGC891           	 +1:18.60 	 +12:9.00 	 9400.00 	 0.026 	 1.00 SABm
ESO373-007       	 +9:32.70 	 -33:14.70 	 9402.80 	 0.010 	 1.00 IrrB
PGC018857        	 +6:21.00 	 -5:52.00 	 9402.80 	 0.092 	 1.00 Scd
PGC029990        	 +10:16.30 	 +41:10.00 	 9416.70 	 0.014 	 1.00 Sb
ESO119-016       	 +4:51.50 	 -61:39.00 	 9430.60 	 0.028 	 1.00 IrrB
PGC041442        	 +12:31.40 	 +9:28.50 	 9430.60 	 0.001 	 1.00 Irr
ESO249-026       	 +3:54.20 	 -43:45.40 	 9444.40 	 0.030 	 1.00 S?
PGC085925        	 +6:22.00 	 -7:54.50 	 9444.40 	 0.012 	 1.00 Sc
IC3652           	 +12:40.90 	 +11:11.00 	 9472.20 	 0.210 	 1.00 E
NGC1512          	 +4:2.30 	 -43:29.00 	 9500.00 	 0.631 	 1.00 Sa
IC5256           	 +22:49.70 	 -68:41.40 	 9569.40 	 0.046 	 1.00 SBd
PGC013449        	 +3:39.20 	 -35:22.30 	 9569.40 	 0.012 	 1.00 S0
NGC4592          	 +12:36.70 	 -0:16.00 	 9600.00 	 0.391 	 1.00 Sd
NGC891           	 +2:19.30 	 +42:7.00 	 9600.00 	 1.500 	 1.00 Sb
PGC430731        	 +9:17.80 	 -53:21.70 	 9625.00 	 0.038 	 1.00 ---
UGC01865         	 +2:25.00 	 +36:2.20 	 9638.90 	 0.043 	 1.00 SABm
PGC032348        	 +10:48.80 	 +14:7.40 	 9694.40 	 0.007 	 1.00 ---
PGC042059        	 +12:36.50 	 +13:38.30 	 9694.40 	 0.040 	 1.00 E
PGC142029        	 +3:6.60 	 -54:11.30 	 9694.40 	 0.003 	 1.00 ---
NGC4062          	 +12:1.50 	 +32:11.00 	 9700.00 	 0.316 	 1.00 SABc
NGC4136          	 +12:6.70 	 +30:12.00 	 9700.00 	 0.305 	 1.00 Sc
NGC4150          	 +12:8.00 	 +30:41.00 	 9700.00 	 0.153 	 1.00 S0
NGC4173          	 +12:9.80 	 +29:28.00 	 9700.00 	 0.160 	 1.00 SBcd
